phase,space,left,right,relation,global_CKA,within_CKA,between_CKA,within_CCA_sum_rho2,within_CCA_dims_ge_0p9,within_top1_direction_angle_degrees,top1_agreement,top5_overlap,centered_interclass_similarity_pearson
e100,probability,c1_s43,c1_s44,within_c1,0.9289045574497962,0.7837960858354658,0.9937019357890499,6.976016547828793,1,12.50420837680071,0.9235668789808917,4.158216560509554,0.9708515438443648
e100,probability,c100_s43,c100_s44,within_c100,0.9301402148821009,0.7975354436218972,0.9972024123040559,7.02986583912225,3,5.777624059807477,0.8996178343949045,4.344203821656051,0.9918367298309179
e100,probability,c1_s43,c100_s43,cross_family_same_seed,0.7642354404967214,0.44433911382379393,0.9372892165057692,4.082578617429138,0,42.00904261042341,0.8468789808917198,3.7559235668789808,0.8753606877301557
e100,probability,c1_s44,c100_s44,cross_family_same_seed,0.7805594807597154,0.47091125059249683,0.9445482605348825,4.229846652432181,0,36.45737563504388,0.8486624203821655,3.8,0.9179476919273855
e100,probability,c1_s43,c100_s44,cross_family_cross_seed,0.7680267047949729,0.4571058093813158,0.9344685302263811,4.218109471589071,0,43.149470068076674,0.8501910828025477,3.784713375796178,0.885034558548803
e100,probability,c1_s44,c100_s43,cross_family_cross_seed,0.7753327515948831,0.45507285521929325,0.9464794490976249,4.074743474703878,0,35.960354602947696,0.8445859872611465,3.78140127388535,0.9081759140487007
e300,probability,c1_s43,c1_s44,within_c1,0.9216226474024637,0.7640944373364489,0.9922186338568919,6.76825159809777,0,9.603180603125113,0.9291719745222929,4.084585987261146,0.9614816934926268
e300,probability,c100_s43,c100_s44,within_c100,0.9010339178257837,0.7438614926533973,0.9964065999172199,6.496821154537169,0,3.9209864333595363,0.8685350318471338,4.224203821656051,0.989596615608738
e300,probability,c1_s43,c100_s43,cross_family_same_seed,0.7172914469810788,0.3732381503626147,0.9272562246572028,3.442517201864412,0,63.91663516724072,0.8285350318471337,3.7113375796178345,0.8794567347483402
e300,probability,c1_s44,c100_s44,cross_family_same_seed,0.7150146786043621,0.38546832474159837,0.921614924843915,3.57924503344127,0,71.96412150591124,0.8236942675159236,3.7319745222929934,0.8891784971480015
e300,probability,c1_s43,c100_s44,cross_family_cross_seed,0.716060114759617,0.376625335360534,0.9289069220843706,3.5097226970485194,0,65.29462611149408,0.8239490445859873,3.7182165605095543,0.8919654370750575
e300,probability,c1_s44,c100_s43,cross_family_cross_seed,0.7162727819076655,0.38068558955663556,0.921516531821551,3.5185117195557973,0,70.52698938618653,0.8234394904458598,3.7156687898089173,0.8827037149445701
e100,equivalent_logit,c1_s43,c1_s44,within_c1,0.9090623043266844,0.7456256050328205,0.9909048070081679,6.537072683009517,1,11.315211030859805,,,0.961197182285202
e100,equivalent_logit,c100_s43,c100_s44,within_c100,0.9234304990849399,0.789885950266474,0.9965521963046511,6.8639399825687875,3,5.131981421328056,,,0.991731972479205
e100,equivalent_logit,c1_s43,c100_s43,cross_family_same_seed,0.7640218402680375,0.4564761797073746,0.9453205131832226,3.839656718267851,0,22.452469374302908,,,0.8865014926585059
e100,equivalent_logit,c1_s44,c100_s44,cross_family_same_seed,0.7817788057407753,0.48297920248936144,0.9555201732689254,3.9881344643017864,0,20.70688286539317,,,0.9331378459795109
e100,equivalent_logit,c1_s43,c100_s44,cross_family_cross_seed,0.7713318100888452,0.4771414925825843,0.9422363991163659,3.990442988401563,0,24.660138767670457,,,0.8919827572727321
e100,equivalent_logit,c1_s44,c100_s43,cross_family_cross_seed,0.7749168631887053,0.46258950689952705,0.9583801258274657,3.822692341043596,0,18.00977285904644,,,0.9267094902616483
e300,equivalent_logit,c1_s43,c1_s44,within_c1,0.8875290205829813,0.6974941549205688,0.9885861248281173,6.10842065500877,0,16.64032137051913,,,0.9493240909995306
e300,equivalent_logit,c100_s43,c100_s44,within_c100,0.8912571481340562,0.7334332893683646,0.9955053424408828,6.292575682723242,0,3.7137515487226374,,,0.9890455755007115
e300,equivalent_logit,c1_s43,c100_s43,cross_family_same_seed,0.7267870075263665,0.39879682952613016,0.9475988169302529,3.23922964626111,0,34.35090463893566,,,0.9027447642859714
e300,equivalent_logit,c1_s44,c100_s44,cross_family_same_seed,0.7227785433701945,0.41077124537626974,0.9412174494074708,3.375500500906586,0,31.83330561904093,,,0.9062312061335754
e300,equivalent_logit,c1_s43,c100_s44,cross_family_cross_seed,0.729729309674893,0.4095110366870961,0.9495258241629669,3.3237946228931987,0,36.439550557265186,,,0.912982665490592
e300,equivalent_logit,c1_s44,c100_s43,cross_family_cross_seed,0.7200753828875053,0.39952219210493767,0.9406213235002997,3.2952752536023433,0,29.677864320762044,,,0.9014841659317726
