name,group,c1_epoch,c100_epoch,c1_val_accuracy,c100_val_accuracy,absolute_accuracy_gap,space,cross_within_CKA,deattenuated_within_CKA,cross_CCA_sum_rho2,deattenuated_CCA_sum_rho2,cross_top1_angle_degrees,cross_over_c1_angle_baseline,cross_over_c100_angle_baseline,between_CKA
c1e16_c100e32,nearest_accuracy,16,32,77.52866242038216,76.86624203821657,0.6624203821655925,probability,0.49946475592813205,0.7769623874365862,4.646328942925697,0.7688173104453272,27.423373637283667,0.7973613787988668,0.8193208106538891,0.9353411073681339
c1e16_c100e32,nearest_accuracy,16,32,77.52866242038216,76.86624203821657,0.6624203821655925,logit,0.5012965622093886,0.7650088061124015,4.512552790065062,0.7556291529210916,23.407102464159735,0.9976027177651392,0.8532403623735207,0.9390331516204975
c1e32_c100e64,nearest_accuracy,32,64,80.28025477707007,80.50955414012739,0.22929936305732213,probability,0.44666779869866163,0.6209211677743027,4.333466599329849,0.6898351148910047,46.85677497561233,2.715943754204222,1.4823919324447392,0.9005104922682619
c1e32_c100e64,nearest_accuracy,32,64,80.28025477707007,80.50955414012739,0.22929936305732213,logit,0.4772492117190693,0.6900170310000544,4.167456737767741,0.6890742674909957,26.001564797436693,1.2223044468405835,1.1007133707148828,0.9437949451029763
c1e32_c100e100,c1e32_one_to_many,32,100,80.28025477707007,82.2547770700637,1.9745222929936261,probability,0.4479149965552266,0.6027250744363435,4.369846423174241,0.6756659395955368,52.84952236599649,3.0632993896253264,9.14727608077663,0.8896006730478591
c1e32_c100e100,c1e32_one_to_many,32,100,80.28025477707007,82.2547770700637,1.9745222929936261,logit,0.4807092458371934,0.6751811466797787,4.206335443338312,0.6772012374712002,20.00698737314479,0.9405060743301528,3.8984917774638737,0.9401523652210295
c1e32_c100e150,c1e32_one_to_many,32,150,80.28025477707007,79.84713375796179,0.4331210191082846,probability,0.41517186824365493,0.6039291948891783,4.007605882168662,0.670919627930868,44.709440077317595,2.591478491534229,3.5385308491613334,0.8985007285563157
c1e32_c100e150,c1e32_one_to_many,32,150,80.28025477707007,79.84713375796179,0.4331210191082846,logit,0.43985718041654864,0.6679345689852753,3.8664172459392425,0.6760612319184907,24.981968976244126,1.1743743889408909,1.9379068026785842,0.9377756291981145
c1e32_c100e200,c1e32_one_to_many,32,200,80.28025477707007,79.26114649681529,1.019108280254784,probability,0.40941221836159514,0.6206179292008107,3.9986993493611727,0.6875191057855321,56.06361753467985,3.2495969251118573,1.6474687544051936,0.9092049655695387
c1e32_c100e200,c1e32_one_to_many,32,200,80.28025477707007,79.26114649681529,1.019108280254784,logit,0.4316258028697667,0.6855501227938665,3.8542633511409035,0.6927235596659059,27.03607610398774,1.2709356650059171,0.7145368830920223,0.9512391026818696
c1e32_c100e250,c1e32_one_to_many,32,250,80.28025477707007,79.75796178343948,0.522292993630586,probability,0.40312529109052697,0.5882224810108178,3.8775214026680676,0.6456639185650219,50.13963438132883,2.906227048424255,1.2889921239354296,0.8852958580919583
c1e32_c100e250,c1e32_one_to_many,32,250,80.28025477707007,79.75796178343948,0.522292993630586,logit,0.4296309371572543,0.6528416459411734,3.75458612008116,0.6537252345834162,26.19903455015821,1.2315872788065971,0.7590796542669237,0.9348413042962156
c1e32_c100e300,c1e32_one_to_many,32,300,80.28025477707007,80.5859872611465,0.3057324840764295,probability,0.39515118518685444,0.5505742586820996,3.859570079447935,0.6207658913332624,52.81893812826013,3.0615266455664276,13.470829095168378,0.8815396918945295
c1e32_c100e300,c1e32_one_to_many,32,300,80.28025477707007,80.5859872611465,0.3057324840764295,logit,0.4304133213810315,0.6273724181432879,3.7458907456392385,0.629856275622735,15.545316222832295,0.7307679093446006,4.185879431858919,0.9375215638950938
