family,family_indicator,epoch,dd_utility,utility_cell_sd,R,R2,family_R,family_R2,W,B,mean_seed_R
C1,0,4,18.342356700046807,0.7912586662402822,1.0207425843612428,1.0419154235284689,0.0,0.0,19.79321944107153,19.390999987972158,1.0211450395202237
C1,0,8,26.057324875691894,1.5801607781229663,0.8968213868208795,0.8042885998593257,0.0,0.0,23.507553584898318,26.212079607322565,0.8991865357949107
C1,0,16,26.444267533842925,1.555488584709727,0.6763080286685668,0.4573925496415629,0.0,0.0,40.10455713907438,59.29924744206774,0.6786582568930823
C1,0,32,25.821656076164,1.6086878370170294,0.6234061301086351,0.3886352030570245,0.0,0.0,57.79033084778379,92.70093452195155,0.6237689302237659
C1,0,64,23.582802564171466,0.5954744801324579,0.5724568056972782,0.3277067943891313,0.0,0.0,82.58481135149651,144.26383009090875,0.5726026846146375
C1,0,100,23.253184757414896,1.20762981406338,0.5682592213658247,0.3229185426672934,0.0,0.0,91.5891344454146,161.17491982845067,0.5682505011389534
C1,0,150,21.671974528063632,0.9641637473316248,0.6295464158384927,0.3963286896950924,0.0,0.0,109.85695232009262,174.5017516679436,0.6296148316122672
C1,0,200,21.500000015185893,1.812025558684277,0.6304277257375069,0.39743911737856524,0.0,0.0,105.98758311895014,168.1201171711799,0.6320786768290871
C1,0,250,20.207006399798544,1.2110958748199316,0.5678359709882179,0.32243768994813227,0.0,0.0,127.90085837700728,225.2426139091162,0.567654592689
C1,0,300,18.886942667566288,0.9025968154112393,0.5622462341817103,0.3161208278515146,0.0,0.0,131.30454521008264,233.53565969398173,0.5622211460836029
C100,1,4,-4.41082803246322,2.7615476640131473,1.4096998658355258,1.9872537117366993,1.4096998658355258,1.9872537117366993,3.0578352278058114,2.1691391919041147,1.4469666456396606
C100,1,8,13.03503185260068,2.430053470600271,0.881542917665424,0.7771179156860686,0.881542917665424,0.7771179156860686,7.676040366223857,8.707506137707046,0.8884245936380053
C100,1,16,22.50636943404082,2.0724798704785434,0.8059734631627689,0.6495932233225872,0.8059734631627689,0.6495932233225872,12.30900513860156,15.272221358627682,0.8106586723676197
C100,1,32,25.605095552031404,0.9634481503340134,0.7304936134423757,0.533620919280099,0.7304936134423757,0.533620919280099,18.494087839367438,25.317247815783027,0.7317295932822714
C100,1,64,26.742038221419996,0.9620937334360335,0.6793568319325756,0.46152570509346574,0.6793568319325756,0.46152570509346574,26.198561663838106,38.56377154449261,0.6808201637951368
C100,1,100,26.97611465970422,1.3047034394002992,0.6496777510311114,0.4220811801848427,0.6496777510311114,0.4220811801848427,26.276479347789625,40.44540436560419,0.649731940322452
C100,1,150,24.966560533244138,0.509983336851415,0.7407035524473865,0.5486417526081783,0.7407035524473865,0.5486417526081783,31.34200423685739,42.31383005157609,0.7403961834077534
C100,1,200,24.72292993083881,0.8712787927908936,0.8016169951264626,0.6425898068755791,0.8016169951264626,0.6425898068755791,29.95383521995198,37.36676667543268,0.8022172655071302
C100,1,250,23.74840766123146,1.31600523694784,0.7638572667384866,0.5834779239491915,0.7638572667384866,0.5834779239491915,29.237525864443942,38.276163803850636,0.7644151706596987
C100,1,300,24.15445859811868,0.8423741391166099,0.7566564570491464,0.5725289939941668,0.7566564570491464,0.5725289939941668,27.157230095539493,35.89109673556327,0.7566965218322046
