family,seed,left_epoch,right_epoch,epoch_gap,left_val_accuracy,right_val_accuracy,absolute_accuracy_gap,global_CKA,within_CKA,between_CKA,within_CCA_sum_rho2,within_CCA_spectrum,top1_direction_angle_degrees,top3_mean_angle_degrees,top5_mean_angle_degrees
C1,43,4,8,4,61.044585987261144,65.07006369426752,4.025477707006374,0.7906668167755422,0.6344952013688093,0.934985816962116,5.563930588374612,"[0.9059333919230346, 0.8912971562390923, 0.8748502680894866, 0.8327574860743054, 0.7874315360805986, 0.7458979467135528, 0.7372868434785433, 0.6447145549820061, 0.5952274497757606]",41.67873369706367,31.185594935082992,23.596440520203682
C1,43,4,16,12,61.044585987261144,78.52229299363057,17.477707006369428,0.6781695823273236,0.43828738935007683,0.8916311980787757,4.313143088724096,"[0.8685471710061744, 0.8052598358541037, 0.7657055941666269, 0.7401592368921914, 0.7039158295792768, 0.6388961848061017, 0.602873000197895, 0.5370384436135528, 0.46971562668069683]",37.78579880336929,34.02972597905329,21.419947514658126
C1,43,4,32,28,61.044585987261144,83.13375796178345,22.0891719745223,0.6304242660476338,0.35649403733971163,0.8674303196891333,3.1640439842505828,"[0.7956632713721767, 0.7269303547249689, 0.6999287990219355, 0.6625465358527443, 0.583061098575587, 0.5140230157880552, 0.4737881126313047, 0.42838968031968905, 0.24798219097633104]",42.327966092407266,34.57384760279498,26.1976241835465
C1,43,4,64,60,61.044585987261144,88.61146496815287,27.56687898089173,0.5706883330009909,0.28147416766290384,0.8175375778294657,2.356224715072468,"[0.7281416777867012, 0.6733145222135737, 0.624841979903721, 0.5378860455919185, 0.4754677602195146, 0.4431558491141487, 0.3281227829547562, 0.30830874034419314, 0.26030276746010256]",41.19856389143281,41.48432426137286,33.48175883880949
C1,43,4,100,96,61.044585987261144,89.65605095541402,28.611464968152873,0.5442377330557295,0.24420110918203286,0.8113520793656729,2.120875474632703,"[0.6855297063677266, 0.6442600510782728, 0.5500645470419095, 0.48970019452063807, 0.4628445386908852, 0.4367872053435897, 0.3525386978626982, 0.2887392534245125, 0.28427834383226885]",36.60035718093498,33.95470560250326,27.409942541014317
C1,43,4,150,146,61.044585987261144,87.38853503184713,26.343949044585983,0.5243350074842245,0.2495064012786805,0.7936922255359565,2.246421262707308,"[0.7066633357054173, 0.6708071274488893, 0.5746509612024813, 0.5382988881834522, 0.5017094222055732, 0.41043168320793244, 0.3324807800372709, 0.2792459700980341, 0.26151152630307334]",42.93668697118699,37.471978244968604,28.06866660799137
C1,43,4,200,196,61.044585987261144,85.78343949044586,24.738853503184714,0.4998760104549765,0.2240096725109967,0.7546251295745515,2.145618697027771,"[0.6904362435269037, 0.6178721709464363, 0.5711083322074207, 0.5321023732567942, 0.4692731013861759, 0.4447650054891874, 0.3485248492507189, 0.3235194047203691, 0.18353549714335088]",46.28799080101378,35.97910638757893,32.20067953726577
C1,43,4,250,246,61.044585987261144,90.24203821656052,29.197452229299373,0.4995612187509703,0.21167330281278243,0.7695811677947294,1.9173642210370008,"[0.6253835648306734, 0.6047095220602908, 0.5598832832198625, 0.4736555170005798, 0.4424550512718241, 0.3828051542219785, 0.33177201315021626, 0.30947740155480274, 0.2731519410775434]",27.53414707208098,36.937570538217926,29.7934465201677
C1,43,4,300,296,61.044585987261144,91.28662420382166,30.242038216560516,0.505078254158754,0.2009304775537214,0.7879268218425977,1.7125341565066248,"[0.6203750589662337, 0.5863041673221724, 0.5247582014621613, 0.44763483287406863, 0.41279035513569756, 0.36821179049146974, 0.28529921216455, 0.2481797107249468, 0.24331798796780837]",19.967020561993458,35.28707556714127,24.911893753066224
C1,43,8,16,8,65.07006369426752,78.52229299363057,13.452229299363054,0.7266717931812722,0.5417902543561445,0.8686626847733909,5.247666505880659,"[0.9061561088650171, 0.8665661978722289, 0.8467815754072311, 0.8238858774072914, 0.8132843485679391, 0.7042352622665069, 0.6767571582867822, 0.5990727527049743, 0.55273548008169]",65.59241610449007,20.195040996511235,31.641753200583093
