label,c1_epoch,c1_temperature,c100_epoch,c100_temperature,utility_c1,utility_c100,utility_gap,probability_shared_CKA,logit_cross_CKA,logit_CKA_ceiling,logit_shared_CKA,logit_shared_CCA,logit_cross_angle,logit_C1_R,logit_C100_R
source_average_best,16,200.0,100,46.0,71.685,72.143,0.4579999999999984,0.7530377761624789,0.5226123647131384,0.6965576824232798,0.750278660189352,0.7297186840733906,15.792762094014805,0.6786582617246164,0.6486518989960877
random_real_best,16,100.0,100,200.0,72.838,72.777,0.06099999999999284,0.7485870896761179,0.5224494367674071,0.6965166782319558,0.7500889111422248,0.729339174285834,15.83181037617516,0.6786582573914486,0.6480294077263766
