family,family_indicator,epoch,log_epoch,train_native_accuracy,coarse_accuracy,R,best_mode,optimized_utility,optimized_utility_cell_sd,T20_utility,temperature_optimization_gain,R_centered,R_centered2,A_centered,family_R_centered,family_R_centered2,dd_utility
C1,0,4,1.3862943611198906,65.56130531207097,63.146496815286625,1.0207425843612428,t8,18.44585989539031,0.8546296501382452,18.342356700046807,0.10350319534350305,0.27236112345126173,0.07418058156763344,-14.138216560509562,0.0,0.0,18.44585989539031
C1,0,8,2.0794415416798357,71.31164853733235,68.53503184713375,0.8968213868208795,t46,26.143312137445825,1.6398557171114452,26.057324875691894,0.08598726175393168,0.1484399259108985,0.022034411604433035,-8.749681528662435,0.0,0.0,26.143312137445825
C1,0,16,2.772588722239781,82.0625198014574,77.52866242038216,0.6763080286685668,t200,26.62898090417218,1.5985094874806534,26.444267533842925,0.1847133703292556,-0.07207343224141427,0.005194579635057734,0.24394904458597466,-0.0,0.0,26.62898090417218
C1,0,32,3.4657359027997265,87.39043193579047,80.28025477707007,0.6234061301086351,t200,26.522293031899036,1.6628543731607777,25.821656076164,0.7006369557350354,-0.12497533080134593,0.015618833308905844,2.995541401273883,-0.0,0.0,26.522293031899036
C1,0,64,4.1588830833596715,98.44228535220192,88.26751592356689,0.5724568056972782,t200,24.815286636656257,0.8197104741171733,23.582802564171466,1.232484072484791,-0.17592465521270284,0.030949484311708374,10.982802547770703,-0.0,0.0,24.815286636656257
C1,0,100,4.605170185988092,99.83102756362868,89.85987261146497,0.5682592213658247,pred,24.310509544117433,0.7801795746809893,23.253184757414896,1.0573247867025373,-0.1801222395441563,0.03244402117840242,12.575159235668778,-0.0,0.0,24.310509544117433
C1,0,150,5.0106352940962555,97.90368571126834,87.49044585987261,0.6295464158384927,t200,22.835987266917137,0.8086610044921114,21.671974528063632,1.1640127388535042,-0.11883504507148834,0.014121767937142666,10.205732484076421,-0.0,0.0,22.835987266917137
C1,0,200,5.298317366548036,97.61854472489176,86.5859872611465,0.6304277257375069,pred,23.014331242688904,1.760016958848648,21.500000015185893,1.5143312275030105,-0.1179537351724741,0.013913083641138153,9.301273885350312,-0.0,0.0,23.014331242688904
C1,0,250,5.521460917862246,99.88911183863132,89.89808917197453,0.5678359709882179,pred,21.597133760087807,0.9312426064902907,20.207006399798544,1.390127360289263,-0.1805454899217631,0.03259667393108947,12.613375796178346,-0.0,0.0,21.597133760087807
C1,0,300,5.703782474656201,100.0,91.15923566878982,0.5622462341817103,pred,20.160828042789632,0.4267006782710073,18.886942667566288,1.2738853752233439,-0.18613522672827076,0.03464632262918476,13.874522292993632,-0.0,0.0,20.160828042789632
C100,1,4,1.3862943611198906,0.8712641250396029,40.140127388535035,1.4096998658355258,t8,-4.404458612089703,2.7915056916108663,-4.41082803246322,0.006369420373516732,0.6613184049255447,0.4373420326932667,-37.14458598726115,0.6613184049255447,0.4373420326932667,-4.404458612089703
C100,1,8,2.0794415416798357,2.085753511458443,57.745222929936304,0.881542917665424,t8,13.116242040038868,2.372437716324772,13.03503185260068,0.08121018743818809,0.133161456755443,0.017731973565231717,-19.539490445859883,0.133161456755443,0.017731973565231717,13.116242040038868
C100,1,16,2.772588722239781,5.597211954799873,65.97452229299364,0.8059734631627689,ref,22.50636943404082,2.0724798704785434,22.50636943404082,0.0,0.05759200225278782,0.0033168387234851176,-11.310191082802547,0.05759200225278782,0.0033168387234851176,22.50636943404082
C100,1,32,3.4657359027997265,25.958390537543565,76.86624203821657,0.7304936134423757,t46,25.67993631028825,0.8317390529248395,25.605095552031404,0.07484075825684755,-0.0178878474676053,0.00031997508702431333,-0.41847133757961785,-0.0178878474676053,0.00031997508702431333,25.67993631028825
C100,1,64,4.1588830833596715,88.2933783926497,80.50955414012739,0.6793568319325756,ref,26.742038221419996,0.9620937334360335,26.742038221419996,0.0,-0.06902462897740547,0.0047643994054684825,3.224840764331205,-0.06902462897740547,0.0047643994054684825,26.742038221419996
C100,1,100,4.605170185988092,98.78551061358115,82.2547770700637,0.6496777510311114,t46,27.087579634842598,1.0950532775638937,26.97611465970422,0.11146497513837872,-0.09870370987886967,0.009742422343852074,4.970063694267509,-0.09870370987886967,0.009742422343852074,27.087579634842598
C100,1,150,5.0106352940962555,96.21396134755518,79.84713375796179,0.7407035524473865,t46,25.035031856549015,0.7648693953525505,24.966560533244138,0.06847132330487682,-0.007677908462594529,5.895027835998069e-05,2.562420382165598,-0.007677908462594529,5.895027835998069e-05,25.035031856549015
C100,1,200,5.298317366548036,98.4106030203823,79.26114649681529,0.8016169951264626,t46,24.726114660919094,0.8678196014606495,24.72292993083881,0.003184730080285192,0.05323553421648153,0.0028340221033141756,1.9764331210190988,0.05323553421648153,0.0028340221033141756,24.726114660919094
C100,1,250,5.521460917862246,99.97359805681698,79.75796178343948,0.7638572667384866,pred,23.94108282137828,1.396682676262766,23.74840766123146,0.19267516014681974,0.015475805828505607,0.0002395005660416081,2.473248407643297,0.015475805828505607,0.0002395005660416081,23.94108282137828
C100,1,300,5.703782474656201,100.0,80.5859872611465,0.7566564570491464,t46,24.176751584156303,0.9431284724943624,24.15445859811868,0.022292986037623308,0.00827499613916538,6.847556110320194e-05,3.3012738853503123,0.00827499613916538,6.847556110320194e-05,24.176751584156303
