phase,component,c1_self_rho,c100_self_rho,geometric_self_ceiling,cross_seed43_rho,cross_seed44_rho,cross_mean_rho,ratio_seed43,ratio_seed44,ratio_mean,ratio_sample_sd
e100,1,0.9000882948031764,0.9139897849972525,0.9070124073273192,0.7681258554095838,0.7893852817709803,0.778755568590282,0.8468746945513231,0.8703136532575677,0.8585941739044454,0.016573846645137006
e100,2,0.8884428720880156,0.9085031957467113,0.8984170459927555,0.7437792819758999,0.7699016904652694,0.7568404862205846,0.8278775266936526,0.8569535650500976,0.8424155458718751,0.020559863891882427
e100,3,0.87449555009207,0.9002977570546458,0.8873028695446438,0.6951745131636571,0.7077133381372367,0.7014439256504469,0.7834692493673718,0.797600641706962,0.7905349455371669,0.009992403350931829
e100,4,0.8642488864294238,0.8890356123594959,0.8765546406116365,0.6752618321086277,0.7042237761639284,0.6897428041362781,0.7703590863855879,0.8033997466176664,0.7868794165016272,0.02336327490498341
e100,5,0.8480665967863698,0.8883191535104477,0.8679595620636679,0.656381618818923,0.6677256925809952,0.6620536556999591,0.7562352527787177,0.7693050710719807,0.7627701619253492,0.009241757144042203
e100,6,0.8455791310840124,0.8760830903265785,0.8606959848144666,0.6377645948647102,0.6413184519260421,0.6395415233953761,0.7409870687408725,0.7451161190955085,0.7430515939181905,0.0029196795056238025
e100,7,0.8295958071963168,0.836690475991249,0.8331355896871954,0.5760159594518582,0.5850250604811427,0.5805205099665005,0.6913832113067288,0.7021966984999322,0.6967899549033305,0.007646290122588016
e100,8,0.8179461149966625,0.8322022652921018,0.825043398729483,0.5423093393191815,0.5498204008669232,0.5460648700930524,0.6573100762387835,0.6664139143633092,0.6618619953010463,0.006437385672676781
e100,9,0.7965100959266266,0.8080966308461945,0.8022824471177755,0.5419513903711143,0.5232243117802438,0.532587851075679,0.6755119625489644,0.6521697111284726,0.6638408368387185,0.016505464267591103
e300,1,0.8737075744650521,0.8852549828641618,0.8794623265730875,0.7303409337586777,0.7451817593875415,0.7377613465731097,0.830440272074557,0.847315157081505,0.838877714578031,0.011932345620156133
e300,2,0.8645353996628524,0.8778097442161585,0.871147288375429,0.7018236594563977,0.7130324631763346,0.7074280613163662,0.805631457299492,0.8184981721128273,0.8120648147061597,0.009098141296102747
e300,3,0.8539648350245603,0.8665572497176056,0.8602380012499051,0.6707947423333364,0.6644856381750325,0.6676401902541844,0.7797780862490238,0.7724439483137816,0.7761110172814027,0.0051860186681672495
e300,4,0.8340643729492347,0.8552708783180564,0.8446010708175138,0.6301031056701938,0.6410191293704375,0.6355611175203156,0.7460363566201719,0.7589608295783672,0.7524985930992696,0.00913898247200207
e300,5,0.8265923341466683,0.8421286781217932,0.8343243432266263,0.582394080237748,0.6092110753645502,0.5958025778011491,0.6980427755295079,0.7301849458311576,0.7141138606803328,0.02272794658234934
e300,6,0.8110151694757836,0.8306595219926117,0.8207785773310067,0.5712607103930359,0.566524634706677,0.5688926725498564,0.695998563035906,0.6902283397172619,0.693113451376584,0.00408016403757397
e300,7,0.7964122433308558,0.8034590012591724,0.7999278627583779,0.5206381856055762,0.5378571006345513,0.5292476431200637,0.6508564207405756,0.6723820055221825,0.6616192131313791,0.015220886968080211
e300,8,0.7867341925831625,0.7849222566768526,0.7858277023923358,0.48701904917482836,0.5026525330428112,0.4948357911088198,0.6197529658119345,0.6396472553876126,0.6297001105997735,0.014067387065850806
e300,9,0.7605861629576196,0.7714365436873433,0.7659921414273416,0.4387555915803516,0.47466255332175117,0.4567090724510514,0.5727938549901819,0.6196702650725241,0.596232060031353,0.033146627446905635
